iter	Passed	Remaining
0	152	152214
1	154	76857
2	156	51853
3	158	39527
4	159	31837
5	160	26661
6	161	22971
7	163	20299
8	165	18203
9	167	16620
10	170	15295
11	171	14131
12	175	13295
13	176	12400
14	176	11612
15	178	10984
16	180	10459
17	182	9979
18	185	9585
19	188	9212
20	189	8850
21	191	8508
22	194	8254
23	196	7997
24	199	7761
25	201	7537
26	203	7327
27	204	7114
28	206	6927
29	208	6733
30	210	6591
31	212	6428
32	214	6292
33	217	6166
34	218	6033
35	221	5935
36	223	5813
37	225	5707
38	228	5625
39	231	5547
40	233	5459
41	235	5381
42	238	5305
43	240	5231
44	242	5156
45	245	5093
46	247	5016
47	249	4941
48	251	4880
49	254	4827
50	256	4768
51	258	4707
52	260	4651
53	261	4587
54	262	4511
55	264	4457
56	266	4407
57	268	4363
58	270	4313
59	272	4267
60	274	4219
61	275	4172
62	277	4125
63	279	4081
64	280	4037
65	282	3994
66	283	3951
67	284	3898
68	285	3857
69	287	3817
70	288	3778
71	290	3741
72	291	3701
73	292	3665
74	294	3629
75	295	3593
76	297	3562
77	298	3531
78	300	3502
79	301	3467
80	302	3434
81	303	3400
82	304	3367
83	305	3335
84	306	3302
85	307	3271
86	308	3240
87	309	3212
88	311	3184
89	312	3159
90	313	3134
91	315	3109
92	316	3085
93	317	3060
94	318	3038
95	320	3014
96	321	2992
97	322	2969
98	323	2948
99	325	2926
100	326	2906
101	327	2880
102	328	2859
103	329	2840
104	330	2820
105	331	2800
106	333	2779
107	334	2759
108	335	2740
109	336	2720
110	337	2702
111	338	2683
112	339	2667
113	341	2652
114	342	2636
115	343	2618
116	344	2601
117	345	2584
118	346	2567
119	347	2550
120	348	2534
121	349	2517
122	350	2498
123	351	2482
124	352	2468
125	353	2452
126	354	2437
127	355	2419
128	356	2405
129	357	2390
130	358	2376
131	359	2361
132	359	2346
133	360	2332
134	361	2318
135	362	2304
136	363	2290
137	364	2276
138	365	2262
139	366	2249
140	367	2236
141	367	2223
142	368	2210
143	369	2197
144	370	2185
